S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1.,"Agriculture, forestry and fishing",282868.439442375,322670.392281576,344514.355864813,409746,472392.305287245,525823,556097,597791,633937,719948.177838044,792415.976999112,888780.513503761
1.1,Crops,163103.157179728,198590.685666903,208494,226434,252188.086432153,268160,287304,316280,327968,403400.598685477,440621.245498759,510719.470316506
1.2,Livestock,59593.1655357545,60863.3128034621,69345,72442,74863.2793550921,79741,83317,91588,100196,110777.065197289,123633.349522738,137334.060602189
1.3,Forestry and logging,56090.3516483206,55730.1711080231,58137,101286,127348.1395,155664,158081,160052,168979,166153.839040485,180961.390659802,187267.546154332
1.4,Fishing and aquaculture,4081.76507857143,7486.2227031875,8538.3558648125,9584,17992.8,22258,27395,29871,36794,39616.6749147928,47199.9913178116,53459.4364307334
2.       ,Mining and quarrying,139436,122745,188716,76817,124097.5148,96028,89620,39934,34086,38681.0001686488,52724.6829126751,65574.1915563267
,Primary,422304.439442375,445415.392281576,533230.355864813,486563,596489.820087245,621851,645717,637725,668023,758629.178006693,845140.659911787,954354.705060087
3.       ,Manufacturing,464602.963082009,493213.96717335,399384.30581016,358995.140559295,174253.578101086,202964.21,257315.834432455,275531.019032248,314305.758667704,263792.650688361,322864.61871208,369728.402696343
4.       ,"Electricity, gas, water supply & other utility services",45558,70063,42869.7006618347,45273,52011.285,48475,49833.4064,77092,54504,62033.6268,83025.1399,102470.825798474
5.       ,Construction,113619.363564366,103722.997745112,117094,135269,181822.2485,172996,201222,175643,202368,192196.107169528,236992.054670265,257459.713213238
,Secondary,623780.326646376,666999.964918462,559348.006471995,539537.140559295,408087.111601086,424435.21,508371.240832455,528266.019032248,571177.758667704,518022.384657889,642881.813282346,729658.941708056
6.       ,"Trade, repair, hotels and restaurants",258057.646625576,321598.052553414,374564,384432.79615753,433196.562578725,498801.948080194,573626.773723307,685332.824193808,764762.490572997,647296.231708196,753877.751762724,845155.216909028
6.1,Trade & repair services,239039.630902317,300757.670806491,351794,361001.190032116,407710.849072629,470633.255580194,542039.484228226,648918.850394549,725237.753513774,630172.746900988,725528.587040528,814371.403020102
6.2,Hotels & restaurants,19018.0157232592,20840.3817469233,22770,23431.6061254142,25485.7135060959,28168.6925,31587.2894950809,36413.9737992591,39524.7370592227,17123.4848072079,28349.1647221958,30783.8138889257
7.       ,"Transport, storage, communication & services related to broadcasting",95614.6578204144,114540.801827996,129656.76987112,138940.016467901,152845.288887346,161444.2273,169416.47317624,183641.366866786,198590.865519016,178029.214498779,249131.037264749,280236.253959496
7.1,Railways,,,,,,,,,,,,
7.2,Road transport,70234.5666795088,82989.9722757855,90558.7698711197,93623.35037484,100892.619187346,107960.854,113474.337747495,125997.897059225,132490.621851277,104517.936187964,162951.468357857,180715.268835158
7.3,Water transport,,,,,,,,,,,,
7.4,Air transport,325.071517497672,605.444844615266,525,839.6817,105.502,112.4952,94.608,46.0765033978684,201.344673674408,53.4982670180269,408.927816781093,782.206426583993
7.5,Services incidental to transport,,,,,,1425.926,1529.496,1949.297,1935.9202,646.932,1103.2221,1209.84586016974
7.6,Storage,287.69563004,320.453508515574,364,420.984393060777,464.5445,497.9521,536.4398,1935.6441,2005.25460882674,2055.34749107664,2213.46250616947,2409.4410765626
7.7,Communication & services related to broadcasting,24767.3239933679,30624.93119908,38209,44056,51382.6232,51447,53781.5916287444,53712.4522041636,61957.7241852379,70755.5005527212,82453.9564839414,95119.4917610209
8.       ,Financial services,55825,56562,60603.5145693346,64090.5166172561,70078,71547,81406.9684435066,75655.3661734524,89412,92569.5979288709,97913.5463849457,103774.778820873
9.       ,"Real estate, ownership of dwelling & professional services",115442.754375678,127013.725118997,137834.64015986,151159,152153.17169149,156993,161450.893255803,171776,182312,177481.160724615,189370.753313524,200757.302813806
10.   ,Public administration,177913,183125,208108,242577,248856.977437881,268757,302408,366072,399443,407290,477084,527421.396962928
11.   ,Other services,143244,158611.693484431,181083,195469,225520.4418,263284,298765,354300,370683,357985,410449,456779.537145929
,Tertiary,846097.058821668,961451.272984839,1091849.92460031,1176668.32924269,1282650.44239544,1420827.17538019,1587074.10859886,1836777.55723405,2005203.35609201,1860651.20486046,2177826.08872594,2414124.48661206
12.,TOTAL GSVA at basic prices,1892181.82491042,2073866.63018488,2184428.28693712,2202768.46980198,2287227.37408377,2467113.38538019,2741162.34943131,3002768.57626629,3244404.11475972,3137302.76752504,3665848.56192007,4098138.1333802
13.,Taxes on Products,152456.012989073,183012.742520359,175549.321523463,181289,271497,313769,235389,243239,260633,294914.503379426,295985.125732177,315420.654627363
14.,Subsidies on products,52863,69677,66154,60604,46988,37020,25721,28426,27997,54601,83364,143850.729531606
15.,Gross State Domestic Product,1991774.83789949,2187202.37270524,2293823.60846058,2323453.46980198,2511736.37408377,2743862.38538019,2950830.34943131,3217581.57626629,3477040.11475972,3377616.27090447,3878469.68765225,4269708.05847596
16.,Population ('00),30040,30690,31350,32020,32710,33410,34130,34870,35620,33030,33330,33640
17.,Per Capita GSDP (Rs.),66304.0891444571,71267.5911601576,73168.2171757762,72562.5693254835,76788.0273336525,82126.9795085362,86458.5511113774,92273.6328152078,97614.8263548489,102259.045440644,116365.727202288,126923.545139
