S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
1.,"Agriculture, forestry and fishing",149468,161353,189885.6312,420218,465297.431670282,515111.569538332,498538.47762936,572433.374745588,620882,609331.066077752,624568.369065983
1.1,Crops,75876,83792,101130.7162,116034,129483.972618,147434.610056829,167729.441435111,176503.029263105,182550,193827.097078646,197951.739766672
1.2,Livestock,30336,30843,36831.575,45847,53660.6343522816,66165.7911324375,86688.4009429388,123819.731505972,147112,68573.8103347891,62202.3288025153
1.3,Forestry and logging,38403,40972,45741.9582,251289,274341.8247,292437.849125915,234572.776995124,262044.286387443,280549,340231.939382399,357155.063261303
1.4,Fishing and aquaculture,4853,5746,6181.3818,7048,7811,9073.31922315,9547.85825618625,10066.3275890678,10671,6698.21928191842,7259.23723549265
2.       ,Mining and quarrying,5073,4009,12490.5456,8718,8246.62440752788,4982.78091538702,10479.2591021173,16950.8068099271,19884,9154.54711188381,14745.4687082975
,Primary,154541,165362,202376.1768,428936,473544.05607781,520094.350453719,509017.736731477,589384.181555515,640766,618485.613189636,639313.83777428
3.       ,Manufacturing,6578,7358,8329.2989,8111,10459.64,11154.6088,11184.72,12313.4079433814,15521,6328.12277772549,13291.3559896619
4.       ,"Electricity, gas, water supply & other utility services",51024,61109,101365,136540,147465,194817,261126.8528,331927.0223,390025.1,407481.569938318,535043.411856219
5.       ,Construction,89328,88507,113326,125175,141137,151504.8889155,218339.633947,199565.364656,173642,198693.828974125,257045.488243166
,Secondary,146930,156974,223020.2989,269826,299061.64,357476.4977155,490651.206747,543805.794899382,579188.1,612503.521690168,805380.256089047
6.       ,"Trade, repair, hotels and restaurants",76482,96173,103080,119745,141838,179518.3686,215721.8676,254856.8187,288750,238906.138252835,307271.355660725
6.1,Trade & repair services,74230,93698,100399,116944,138796,176188.1836,212041.6092,250648.1787,283946,236710.183244814,303475.847784521
6.2,Hotels & restaurants,2252,2475,2681,2801,3042,3330.185,3680.2584,4208.64,4804,2195.95500802145,3795.50787620372
7.       ,"Transport, storage, communication & services related to broadcasting",31917,38990,46409.5628,49714,56146,59821.2864235663,63222.252,66576.3948,69808,65895.1414999671,88933.6010068695
7.1,Railways,30,35,33,34,39,33,37,46,5,25,10
7.2,Road transport,21376,25853,30356.48,31180,32588,34846.8684,37260.7695,39946.5872,40171,34535.2107876614,50902.5173656831
7.3,Water transport,613,836,579.5328,122,250,402.6144,332.1135,565.8575,565,755.820887893407,1632.331785079
7.4,Air transport,103,191,165.5808,265,1591,1976.5604,2162.187,1323,1364,743.712234104708,1239.77745568831
7.5,Services incidental to transport,0,0,0,0,0,828.912,871.182,1240.9501,1168,411.664142773594,809.450884679071
7.6,Storage,0,0,0,0,0,0,0,0,0,0,0
7.7,Communication & services related to broadcasting,9795,12075,15274.9692,18113,21678,21733.3312235663,22559,23454,26535,29423.733447534,34339.52351574
8.       ,Financial services,20053,19581,21502,23671,33935,28746.5527473682,30595,38895,43619,46098,50730
9.       ,"Real estate, ownership of dwelling & professional services",41471,46544,51036,52747,54137,56626.6553632499,58865.3486366544,61911.7537650604,66238,69665.004153622,75174.7364811848
10.   ,Public administration,139286,170816,189585,197043,211167,227334,238016.7,261114,360566,321797,343677
11.   ,Other services,132328,156875,176398,192708,211593,239262.1,274711.8349,289429.3498,364318,356820.152162598,392913.161910234
,Tertiary,441537,528979,588010.5628,635628,708816,791308.963134184,881133.003136654,972783.31706506,1193299,1099181.43606902,1258699.85505901
12.,TOTAL GSVA at basic prices,743008,851315,1013407.0385,1334390,1481421.69607781,1668879.8113034,1880801.94661513,2105973.29351996,2413253.1,2330170.57094883,2703393.94892234
13.,Taxes on Products,23226,27434,35819,36560,52268,64184,69298,98678,98911,100886.873347236,130615.072370674
14.,Subsidies on products,40365,42556,19889,20010,19804,13873,11567,13443,13204,38763,51659
15.,Gross State Domestic Product,725869,836193,1029337.0385,1350940,1513885.69607781,1719190.8113034,1938532.94661513,2191208.29351996,2498960.1,2392294.44429606,2782350.02129301
16.,Population ('00),11107.88,11344.64,11586,11710,11920,12140,11750,11860,11980,12100,12210
17.,Per Capita GSDP (Rs.),65347.2129695315,73708.2005246531,88843.1761177283,115366.35354398,127003.833563575,141613.740634547,164981.527371501,184756.179892071,208594.332220367,197710.284652567,227874.694618593
