S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1.,"Agriculture, forestry and fishing",3934537.45910056,5342866.55041922,5674966.69591755,6556958.99039821,6163540.81605759,7425208.22707442,7494152.2799246,8694179.688108,11209586.1010874,11708153.5240124,12862334.4021616,14496325.5210061
1.1,Crops,2555038.75366498,3750538.4788407,3802013.67572613,4436266.15238565,3765010.08115977,4707585.8480066,4427626.88968784,5078111.07274686,7040491.426762,7151565.13483057,7721480.11365949,8940213.84728819
1.2,Livestock,538910.85180091,637320.32226181,729848.778008382,803496.438708834,880541.650149774,909690.331954688,1188323.14033821,1417110.1093944,1608672.62626567,1733564.3929229,1949218.12002969,2021075.29516424
1.3,Forestry and logging,572222.648703683,619884.246246733,784936.522498835,864086.460786548,957597.925346456,1108049.33680106,1022003.81134714,1249921.49076359,1472914.04746454,1607448.82140697,1759019.63004922,1890578.38948224
1.4,Fishing and aquaculture,268365.204930983,335123.503069979,358167.7196842,453109.93851718,560391.159401598,699882.710312081,856198.438551406,949037.015203139,1087508.00059518,1215575.17485193,1432616.5384232,1644457.98907144
2.       ,Mining and quarrying,2648738.45274137,2666988.87805392,2868392.20381388,2703160.6440787,2862080.49459124,3292603.99190161,3467115.24290952,4139376.74840792,3908737.25032242,3949217.16225488,6388454.86741814,6976580.45853776
,Primary,6583275.91184192,8009855.42847315,8543358.89973142,9260119.63447691,9025621.31064884,10717812.218976,10961267.5228341,12833556.4365159,15118323.3514098,15657370.6862672,19250789.2695797,21472905.9795439
3.       ,Manufacturing,4116404.46621454,4212453.14175051,5168497.95079537,4724215.1282325,4654609.61292322,6741508.38710898,8000596.0981282,10384918.7012773,8849462.04180918,10483488.7114978,13208016.0655479,16076774.5818409
4.       ,"Electricity, gas, water supply & other utility services",775700.623584041,937277.664581661,1044477.38171491,1008705.85033696,1218870.6462168,1318938.66364284,1313855.07785298,1237963.43741508,1316053.39770779,1370825.42193299,1917431.35890231,2431267.56679034
5.       ,Construction,2059628.69528681,2074164.22289955,2314668.53938171,2393041.38074431,2370791.72106988,2609536.86048269,2975352.55215543,3263912.27453295,3298183.56133235,3139783.66833351,4148108.27738925,4540153.3002189
,Secondary,6951733.78508539,7223895.02923172,8527643.87189199,8125962.35931377,8244271.9802099,10669983.9112345,12289803.7281366,14886794.4132253,13463699.0008493,14994097.8017643,19273555.7018394,23048195.4488501
6.       ,"Trade, repair, hotels and restaurants",2035854.35309472,2436044.14001637,2769620.28670788,3030217.973171,3352590.613872,3538165.63075017,3995610.36517525,4499318.92559935,4871891.96483902,3756733.55550139,4493314.47415765,5335405.43856786
6.1,Trade & repair services,1838865.67653,2218946.152779,2533465.03679515,2782577.322771,3082291.056,3240394.25651634,3665665.41519869,4120463.11808631,4462230.62288388,3563712.9454706,4190761.68735819,4923917.16588783
6.2,Hotels & restaurants,196988.676564716,217097.987237372,236155.24991273,247640.6504,270299.557872,297771.374233826,329944.949976561,378855.807513039,409661.341955137,193020.610030793,302552.786799451,411488.272680029
