S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1.,"Agriculture, forestry and fishing",7816825,8373465.46,9101468,9488170,10139834,11287209.8680905,12470514.7749653,13521231.8881125,14136301.6016073,14788138.4824765,15237453.3319526,16275372.265452
1.1,Crops,5007937,5314252,5760170,5715593,5936438,6633055,7189095.86706776,7680122.76486803,7820362.35761777,8237008.41021666,8128474.57990909,8648942.14588188
1.2,Livestock,2034580,2222010,2490291,2804686,3211231,3613447,4208664.90789749,4719671.25435159,5151677.31825101,5358617.15806482,5837624.44580401,6290423.86461688
1.3,Forestry and logging,715707,769612,758790,860233,873535,902790,928511,977822,1002955.44819992,1016612.85898269,1058013.74942243,1096538.3441367
1.4,Fishing and aquaculture,58601,67591.46,92217,107658,118630,137917.868090518,144243,143615.868892845,161306.477538614,175900.055212319,213340.556817056,239467.910816504
2.       ,Mining and quarrying,3682,2057,8831,9285,2513,3733,11227,13436,12786,13150.719,14241,15423
,Primary,7820507,8375522.46,9110299,9497455,10142347,11290942.8680905,12481741.7749653,13534667.8881125,14149087.6016073,14801289.2014765,15251694.3319526,16290795.265452
3.       ,Manufacturing,3750728,4067078,4437477,4458534,5112610,5477230,5914022,6756327,6931877,7649799,9299844,10427495
4.       ,"Electricity, gas, water supply & other utility services",714902.56724894,816015.400257934,959429,1237287,1348511,1458607,1897652,1688425,1706901,1754440,1838101,2030426
5.       ,Construction,1978422.64265831,2054739.38230723,2256358,2308915,2295407,2526228,2793553,3131092,3168522,3012986,3628138,4009385
,Secondary,6444053.20990725,6937832.78256517,7653264,8004736,8756528,9462065,10605227,11575844,11807300,12417225,14766083,16467306
6.       ,"Trade, repair, hotels and restaurants",2532467,2993141,3368080,3648582,3801439,4189156,4600213,5267239,5717835,4575038,5285231,5875292
6.1,Trade & repair services,2371685,2815726,3173848,3442746,3577096,3919558,4304352,4916828,5357819,4392181,4949973,5478780
6.2,Hotels & restaurants,160782,177415,194232,205836,224343,269598,295861,350411,360016,182857,335258,396512
7.       ,"Transport, storage, communication & services related to broadcasting",1321322.772243,1540246.0980382,1663148,1818092,1974795,2078887,2232326,2496484,2767811,2389366,3151463,3569548
7.1,Railways,190402,228933,215046,240649,244969,225029,238789,260278,374366,230432,276595,302587
7.2,Road transport,625062,708850.0980382,786899,845212,870136,948052,1046107,1213334,1220418,961021,1475652,1677582
7.3,Water transport,0,0,0,0,0,0,0,0,0,0,0,0
7.4,Air transport,2464.23665186261,4658,4102,6492,11364,13174,17197,9730,16895,8328,9081,19832
7.5,Services incidental to transport,32147.0430533441,36862,40850,44101,46318,68708,73353,78795,88766,64549,89137,103117
7.6,Storage,48042.492537795,91143,22524,23012,42503,43972,64490,71162,104192,97013,71846,89910
7.7,Communication & services related to broadcasting,423205,469800,593727,658626,759505,779952,792390,863185,963174,1028023,1229152,1376520
8.       ,Financial services,1464304,1655979,1706932,1696078,1892770,1920820,2092924,2210001,2400357,2426611,2545936,2709130.4976
9.       ,"Real estate, ownership of dwelling & professional services",2274674.25535682,2574058.03099746,2881610,3147413,3276020,3587047,3902389,4217591,4399684,4486194,5034051,5339946
10.   ,Public administration,1269455,1486914,1539947,1753289,1840966,2023775,2212621,2266247,2410960,2740770,3093048,3371422
11.   ,Other services,2250644,2520088.78426122,2909625.56626755,3312290,3630673,4066178,4573595,4830738,5356462,4847382,5747907,6336077
,Tertiary,11112867.0275998,12770426.9132969,14069342.5662675,15375744,16416663,17865863,19614068,21288300,23053109,21465361,24857636,27201415.4976
12.,TOTAL GSVA at basic prices,25377427.2375071,28083782.1558621,30832905.5662675,32877935,35315538,38618870.8680905,42701036.7749653,46398811.8881125,49009496.6016073,48683875.2014765,54875413.3319526,59959516.763052
13.,Taxes on Products,2192500,2726900,3326918,3689719,4619287,5274318,5204749,5673145,5578218,6630428,8320320,9199777.824
14.,Subsidies on products,907100,1037300,945130,1057472,926081,1194379,804425,820988,884610,1229042,1773057,1848589.2282
15.,Gross State Domestic Product,26662827.2375071,29773382.1558621,33214693.5662676,35510182,39008744,42698809.8680905,47101360.7749653,51250968.8881125,53703104.6016073,54085261.2014765,61422676.3319526,67310705.358852
16.,Population ('00),279547,283207,286916,290673,294479,298335,302241,306199,310209,314271,318386,322556
17.,Per Capita GSDP (Rs.),95378.6920893699,105129.400600487,115764.521902813,122165.395478768,132466.980667552,143123.702777383,155840.408068281,167377.976048623,173119.105511469,172097.524752448,192918.898230301,208679.12969795
