S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1.,"Agriculture, forestry and fishing",11910302.5177,13641013.2318,14779846.70508,15306196.5083,16770546.6252,20231863.2107,20592005.3934,22206135.4968,26073189.848129,29234928.92679,33331323.75568,37943851.23723
1.1,Crops,7346941.9774,8389344.246,8599905.25108,7760667.956,8205263.76,10156122.5302,9247156.8954,10396611.244,12855516.0995465,13739441.072,15949986.976,17453774.744
1.2,Livestock,3113225.2158,3591762.72,4150166.7893,5333175.0472,6351373.7952,7562140.0385,8967765.1671,9467380.143,11011436.1718,13256433.3648,14765982.0918,17611089.0028
1.3,Forestry and logging,1417029.9469,1622498.007,1987304.9121,2154317.3093,2160681.3696,2443199.725,2298640.176,2255724.7526,2111527.31253252,2142418.255,2499096.8265,2733246.693
1.4,Fishing and aquaculture,33105.3776,37408.2588,42469.7526,58036.1958,53227.7004,70400.917,78443.1549,86419.3572,94710.26425,96636.23499,116257.86138,145740.79743
2.       ,Mining and quarrying,1841530.2822,3395874.3224,3953972.5776,4923360.9186,4686623.7652,5095827.7362,5579249.99770381,2838166.50501284,2698967.1265,3261805.924,4049239.948,4511187.252
,Primary,13751832.7999,17036887.5542,18733819.28268,20229557.4269,21457170.3904,25327690.9469,26171255.3911038,25044302.0018128,28772156.974629,32496734.85079,37380563.70368,42455038.48923
3.       ,Manufacturing,6666606.375,5627437.2422,5338668.9421,6178416.6783,7694489.1058,7876593.8624,8241480.819,9632261.124,10576667.0268028,10509600.4776,13081669.6872,14773305.456
4.       ,"Electricity, gas, water supply & other utility services",763271.216,1059920.6492,1070927.4574,1341407.3005,1924045.7136,2348005.355,2730979.4568,2668639.1046,3120781.44,3590348.972,3927816.748,4788534.284
5.       ,Construction,4359171.211,4568111.868,5259336.4665,5634917.982,5600200.0324,5947297.3222,6471260.5569,7432208.2016,8031339.2376,7803447.0969,10069591.3587,11730413.7051
,Secondary,11789048.802,11255469.7594,11668932.866,13154741.9608,15218734.8518,16171896.5396,17443720.8327,19733108.4302,21728787.7044028,21903396.5465,27079077.7939,31292253.4451
6.       ,"Trade, repair, hotels and restaurants",4374625.4403,5241568.787,6103583.9906,6953282,7709306.7396,8514879.104,9866414.118,11427657.4339,12492718.3648,10069626.0393,12530013.5313,15875014.5557
6.1,Trade & repair services,4099131.5024,4943648.2235,5778575.268,6612085,7342482.324,8105279.754,9411126.285,10899468.3139,11941061.3196,9814579.9647,12169097.7555,15433361.6535
6.2,Hotels & restaurants,275493.9379,297920.5635,325008.7226,341197,366824.4156,409599.35,455287.833,528189.12,551657.0452,255046.0746,360915.7758,441652.9022
7.       ,"Transport, storage, communication & services related to broadcasting",2284891.026,2712814.588294,3176454.5094,3535356.8213,3965806.9906,4289754.5017,4404403.1488,4931728.7062,5052428.00186586,4563951.77546858,5518567.749,6752165.16
7.1,Railways,241013,336958,401456,446690,488125,571646,533632,585321,495546,501624,617499,768169
7.2,Road transport,1398870.8073,1622319.594697,1798951.616,1957268.4417,2101180.4526,2294265.1811,2494899.5456,2895367.8468,2876036.9228,2303195.5754,2717126.0368,3269987.8212
7.3,Water transport,0,0,0,0,0,0,0,0,0,0,0,0
7.4,Air transport,6641.9073,12603.9576,10816.96,17685.6108,35438.5242,43843.0325,47110.6944,28002.5655,47542.3007,24272.855,38129.5534,47432.999
7.5,Services incidental to transport,31689.2186,36866.467597,41057.1392,44328.4842,48433.3398,86452.44,91929.8688,99008.3328,100857.8975,62304.9231,88067.6292,109555.7526
7.6,Storage,10113.0928,11052.5684,14336.7942,17395.2846,14680.674,16703.8481,20609.04,48592.9611,53244.8808658557,51698.4219685829,62545.5296,74991.5872
7.7,Communication & services related to broadcasting,596563,693014,909836,1051989,1277949,1276844,1216222,1275436,1479200,1620856,1995200,2482028
8.       ,Financial services,1364042,1494592,1714035,1912251,2005841,2054000,2909960,3417172,3827717,4136963,4645809,5314806
9.       ,"Real estate, ownership of dwelling & professional services",4133721.2532,4921092.9,5688746.3094,6449319.506,6970203.261,7862113.558,8745416.5345,9701505.132,10294634.2273,10541583.5962,12363873.1303,14111740.0721
10.   ,Public administration,1467926,1593302,1754171,1910769,2048963,2275182,2407148,3010153,2957565,3204453,3711605,4052779
11.   ,Other services,2532266.3364,2950606.5504,3495137.6768,4219294.9776,4920013.3776,5701665.48,6823220.2716,8643463.5616,9293731.0491,8732495.2725,10181947.9125,11221188.7675
,Tertiary,16157472.0559,18913976.825694,21932128.4862,24980273.3049,27620134.3688,30697594.6437,35156562.0729,41131679.8337,43918793.6430659,41249072.6834686,48951816.3231,57327693.5553
12.,TOTAL GSVA at basic prices,41698353.6578,47206334.139294,52334880.63488,58364572.6926,64296039.611,72197182.1302,78771538.2967038,85909090.2657128,94419738.3220977,95649204.0807586,113411457.82068,131074985.48963
13.,Taxes on Products,3258156,4150981,4782292,5464536,6115066,6514227,7558672,8235635,8757459,9507762,11788674.1038,13844618.8675027
14.,Subsidies on products,1472846,2002191,2014071,2264953,2262880,2652682,3077287,2992779,3309318,3212763,3380786.75145318,3557597.94880647
15.,Gross State Domestic Product,43483663.6578,49355124.139294,55103101.63488,61564155.6926,68148225.611,76058727.1302,83252923.2967038,91151946.2657128,99867879.3220977,101944203.080759,121819345.173027,141362006.408326
16.,Population ('00),691240,701220,711340,721610,732040,742600,758360,768440,778530,788610,797900,806620
17.,Per Capita GSDP (Rs.),62906.7525863665,70384.6498093238,77463.8030124554,85314.9979803495,93093.5817865144,102422.201899004,109780.214273833,118619.470961575,128277.496463974,129270.746098526,152674.953218482,175252.295267073
