S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1.,"Agriculture, forestry and fishing",90136.9034759052,108277.727172878,122419.275935859,139802.776935247,155710.100717497,190436.468704946,239175.758526979,278476.365241231,304968.969126964,302273.462307986,327480.828873646,358589.126169874
1.1,Crops,78206.6405080591,94942.0194920715,104439.669755537,116961.165716574,125560.111737653,156908.430006481,199256.456975744,234174.326342412,257991.596781279,261938.485976538,279812.366646046,305029.318544484
1.2,Livestock,7626.75004777816,8746.6836544776,12986.111462486,16844.4676313992,23502.9907093907,26836.6023946635,30665.3806668171,32931.2268559298,37067.3421110175,33267.6189654069,39893.8901125777,45292.9175475635
1.3,Forestry and logging,4016.92025006793,4137.42130379348,4470.52542999567,5406.61355618268,6041.30905453209,6046.89915385291,8528.34300010066,10526.8260982805,8893.77524808237,6047.75334879069,6656.71537047241,7016.52284591802
1.4,Fishing and aquaculture,286.59267,451.602722535211,522.969287841,590.530031091,605.689215920973,644.537149948452,725.577884317324,843.985944609205,1016.25498658491,1019.60401725,1117.85674455,1250.36723190795
2.       ,Mining and quarrying,799.6555976576,895.5651747968,1238.2468052992,1295.396722,1609.8751131126,1680.4042565808,1723.15931145322,1709.39488657711,1518.393859173,1082.5233616375,1268.8205334776,1487.17857112952
,Primary,90936.5590735628,109173.292347675,123657.522741159,141098.173657247,157319.97583061,192116.872961527,240898.917838432,280185.760127808,306487.362986137,303355.985669623,328749.649407124,360076.304741003
3.       ,Manufacturing,430622.830987146,462562.192196297,526855.685073054,586605.594,703851.239294655,867559.745053335,1133260.4424294,1207662.78797624,1230059.70353498,1264459.0858,1345202.6464,1455135.42801471
4.       ,"Electricity, gas, water supply & other utility services",186622.802474355,183905.997532321,184113.251039314,215302.912098288,245045.440173726,256131.643836336,312204.61622446,369165.3960876,417200.56830016,598040.776645312,737105.080445472,913639.085086826
5.       ,Construction,67095.1568157,67755.1773679147,75612.6916,77584.6161972,96739.5409,90014.1755,101140.742625,110248.2486,132452.6056,124695.099,157447.8392,184124.33576046
,Secondary,684340.790277201,714223.367096532,786581.627712369,879493.122295488,1045636.22036838,1213705.56438967,1546605.80127886,1687076.43266384,1779712.87743514,1987194.96144531,2239755.56604547,2552898.84886199
6.       ,"Trade, repair, hotels and restaurants",31445.8208,54858.262,69952.575,70191.189,82487.2146,92629.7559,122602.261220758,153928.934939582,182150.626838328,156531.8608,212785.9508,254541.449566061
6.1,Trade & repair services,26676.665,49789.642,64502.0873,64579.557,76056.7344,85562.4484,113612.683220758,143362.000139582,171451.692238328,151810.512,204457.764,244579.002645299
6.2,Hotels & restaurants,4769.1558,5068.62,5450.4877,5611.632,6430.4802,7067.3075,8989.578,10566.9348,10698.9346,4721.3488,8328.1868,9962.44692076228
7.       ,"Transport, storage, communication & services related to broadcasting",28365.2236904178,36019.6010569217,42348.60688,45141.6162000464,49112.5120632766,56485.1266919283,58256.5635,63019.6415,69750.5846,57735.258,78715.4571,90353.1221918286
7.1,Railways,0,0,0,0,0,0,0,0,0,0,0,0
7.2,Road transport,21351.451,28413.7703442968,31828.9664,33084.051,35082.866,42133.3996,43595.5635,47944.6415,52994.5846,39492.258,56954.4571,66664.6100653041
7.3,Water transport,0,0,0,0,0,0,0,0,0,0,0,0
7.4,Air transport,0,0,0,0,0,0,0,0,0,0,0,0
7.5,Services incidental to transport,0,0,0,0,0,0,0,0,0,0,0,0
7.6,Storage,0,0,0,0,0,0,0,0,0,0,0,0
7.7,Communication & services related to broadcasting,7013.7726904178,7605.83071262489,10519.64048,12057.5652000464,14029.6460632766,14351.7270919283,14661,15075,16756,18243,21761,23688.5121265245
8.       ,Financial services,16521,17692,19924,20456,40193,26090,27801,32277,42274,45754,45671,51305.0963146774
9.       ,"Real estate, ownership of dwelling & professional services",58394.010074169,63934.9448749672,68701.6213822467,73926.376822103,76234.1238838016,90262.8650642776,94326.7158762173,103423.750798174,106359.8504,105999.47662874,119898.182760583,128919.732909318
10.   ,Public administration,74027,85145,94138,108612,115351,119565,126593,175049,225662,221024,243765,283402.277366413
11.   ,Other services,105179.279780448,115695.57012898,126386.278015366,145597.65724522,157941.210383647,168763.383112712,182050.942813614,200491.394501881,282985.952465712,282420.084271423,313174.867807365,356918.329293257
,Tertiary,313932.334345035,373345.378060869,421451.081277613,463924.839267369,521319.060930725,553796.130768918,611630.48341059,728189.721739637,909183.01430404,869464.679700162,1014010.45846795,1165440.00764155
12.,TOTAL GSVA at basic prices,1089209.6836958,1196742.03750508,1331690.23173114,1484516.1352201,1724275.25712972,1959618.56812012,2399135.20252788,2695451.91453128,2995383.25472532,3160015.6268151,3582515.67392054,4078415.16124455
13.,Taxes on Products,40600,53900,71800,72611,93280,121200,207080,154638,159127,160310,199438,227044.634821696
14.,Subsidies on products,13300,16800,17300,16455,14161,12100,9133,9847,10410,18543,26214,29842.5979864215
15.,Gross State Domestic Product,1116509.6836958,1233842.03750508,1386190.23173114,1540672.1352201,1803394.25712972,2068718.56812012,2597082.20252788,2840242.91453128,3144100.25472532,3301782.6268151,3755739.67392054,4275617.19807982
16.,Population ('00),6140,6210,6270,6330,6400,6470,6540,6600,6670,6730,6800,6860
17.,Per Capita GSDP (Rs.),181841.968028632,198686.318438821,221082.971567965,243392.122467631,281780.352676518,319740.118720265,397107.370417108,430339.835535043,471379.348534531,490606.631027503,552314.657929492,623267.81313117
