S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1.,"Agriculture, forestry and fishing",8773221.2435,8426466.8379,10846227.8188,12924021.7125,13235403.3255,13692560.4376,16209891.9218,17484783.3681,19708438.326132,22637881.355564,25215772.981669,27323987.984358
1.1,Crops,5375639.3532,4696012.374,6297031.45,7180912.5648,7021598.4462,5634802.6554,7720780.085,8116010.946,9179734.658625,10488003.839976,11592827.46274,12213995.7256
1.2,Livestock,2617944.1554,2959120.878,3714994.5735,4672727.3397,5051547.179,6522783.9765,6830415.36,7483420.8542,8287061.308388,9952257.50645,11121777.769081,12382220.49169
1.3,Forestry and logging,355527.5739,338086.9149,399307.2891,390029.85,448449.3379,696612.5115,581832.174,761222.992,1018319.634553,941112.811128,968282.059358,1017783.474628
1.4,Fishing and aquaculture,424110.161,433246.671,434894.5062,680351.958,713808.3624,838361.2942,1076864.3028,1124128.5759,1223322.724566,1256507.19801,1532885.69049,1709988.29244
2.       ,Mining and quarrying,326842.9316,317888.9934,318742.9056,267230.0238,455821.59,523708.582,559526.3981,615035.8094,529531.7328,425762.613956,634051.054413,639000.76011
,Primary,9100064.1751,8744355.8313,11164970.7244,13191251.7363,13691224.9155,14216269.0196,16769418.3199,18099819.1775,20237970.058932,23063643.96952,25849824.036082,27962988.744468
3.       ,Manufacturing,15176801.3605,17826089.9344,18141699.0303,18218939.408,22055434.8848,24975948.8092,28197895.9404,31626464.9435,31762208.44864,31775261.1532797,37816644.325038,44475597.996126
4.       ,"Electricity, gas, water supply & other utility services",795604.213,1267240.056,1306088.8281,1688138.159,2161110.3956,2555681.3668,2947877.284,2617276.12,3282751.48978,3203789.771069,3652658.669705,4269753.08131
5.       ,Construction,9247220.831,10235642.7336,11412163.04,11914450.6338,12424621.6168,13367262.0381,14603778.8622,16611470.9376,17283694.8146262,18615186.698336,22783255.172496,25474619.800539
,Secondary,25219626.4045,29328972.724,30859950.8984,31821528.2008,36641166.8972,40898892.2141,45749552.0866,50855212.0011,52328654.7530462,53594237.6226847,64252558.167239,74219970.877975
6.       ,"Trade, repair, hotels and restaurants",7930218.8796,9691627.6015,11340540.6877,12385486.2446,12682316.1342,14095330.8314,16001354.7594,19037782.0035,20783472.629835,17609532.503139,21053826.527037,23964062.10168
6.1,Trade & repair services,6893400.3225,8505164.6435,9964677.1336,10818940.1096,11005221.7932,12286236.0764,14053270.0338,16692140.1255,18260152.95375,16284128.625177,19114838.57421,21432161.06353
6.2,Hotels & restaurants,1036818.5571,1186462.958,1375863.5541,1566546.135,1677094.341,1809094.755,1948084.7256,2345641.878,2523319.676085,1325403.877962,1938987.952827,2531901.03815
7.       ,"Transport, storage, communication & services related to broadcasting",5337970.8882,6145990.64750853,6723139.8427,7201626.1068,7694063.1565,7912808.8141,8223102.5112,9172982.6385,9403258.07353901,9360128.581468,10820006.403072,12157435.876126
7.1,Railways,316093,370483,401663,474797,520403,571054,636480,663457,716622,703530,762889,920727
7.2,Road transport,2866546.0989,3309408.32599653,3581989.7344,3657904.107,3709851.622,3825300.596,3975137.4375,4708508.217,4594956.988957,4592643.122767,5361803.377632,5783528.330918
7.3,Water transport,66378.6757,62574.4324,59572.6208,67218.9375,62533.106,80955.0984,85062.447,107355.9095,105092.86853,98375.996304,143910.724412,155422.47812
7.4,Air transport,43316.7439,80632.0255,62920.704,105963.6864,173954.064,192211.8644,189030.726,106544.522,187567.089229,69606.545448,79372.536165,153270.186381
7.5,Services incidental to transport*,822306.7475,951480.933612,939474.9056,989797.2513,1047697.964,1045091.2628,1070800.938,1037993.768,999384.05498301,909094.847959,1091798.541808,1301694.804111
7.6,Storage,26960.6222,28758.93,33161.8779,34823.1246,36867.4005,38493.9925,41615.9627,92475.222,97720.07184,100818.06899,107866.223055,116571.076596
7.7,Communication & services related to broadcasting,1196369,1342653,1644357,1871122,2142756,2159702,2224975,2456648,2701915,2886060,3272366,3726222
8.       ,Financial services,4019599,4466210,5103346,5719637,6009648,6172968,7391545,8309441,8963327,9640155,10284484,11436258
9.       ,"Real estate, ownership of dwelling & professional services",10253371.0356,12044214.7825,14245583.8044,16968889.0426,19001456.6847,21401769.3565,23477847.5827,25512504.4674,28045250.022104,30414326.105179,34688512.847472,39627767.15356
10.   ,Public administration,2598408,2572241,2962722,3452971,3394982,3792066,4124900,4671542,5128637,5011641,5425816,6013570
11.   ,Other services,4842953.4492,5483555.4816,6378181.2864,7542922.3807,8526551.35349758,9889775.84,11315956.67,13344890.955,15242646.468699,16788390.043602,19148348.239982,22282765.68947
,Tertiary,34982521.2526,40403839.5131085,46753513.6212,53271531.7747,57309017.3288976,63264718.842,70534706.5233,80049143.0644,87566591.194177,88824173.233388,101420994.017563,115481858.820836
12.,TOTAL GSVA at basic prices,69302211.8322,78477168.0684085,88778435.244,98284311.7118,107641409.141598,118379880.0757,133053676.9298,149004174.243,160133216.006155,165482054.825593,191523376.220884,217664818.443279
13.,Taxes on Products,8455881,10014105,10809451,11660868,12670115,14787416,16307724,16779238,17310462,17554807,20396578,23444164.5812221
14.,Subsidies on products,2609517,3008738,2734841,2677383,2661521,2903438,2856310,2762497,3129282,4229425,4791338,4657576.5
15.,Gross State Domestic Product,75148575.8322,85482535.0684085,96853045.244,107267796.7118,117650003.141598,130263858.0757,146505090.9298,163020915.243,174314396.006155,178807436.825593,207128616.220884,236451406.524501
16.,Population ('00),724370,729350,734330,739300,744280,748410,751950,755480,759020,762550,765360,767650
17.,Per Capita GSDP (Rs.),103743.357444676,117203.722586424,131893.079737992,145093.732871365,158072.23510184,174054.138875349,194833.553999335,215784.554512363,229657.184272029,234486.180349607,270629.006246582,308019.809189736
