S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1.,"Agriculture, forestry and fishing",5461488,6736383,7663070,7612263,7570652.9630597,8897924,10138979,11429241.1032575,15660539.6596529,17503425.6699587,18557286.9640399,21483936.4385827
1.1,Crops,3236819,4057045,4709285,4170637,3680494.67424073,4352911,4745699,4836552.9360367,7885397.34637784,8384226.11643196,8704601.89165379,10513424.8204988
1.2,Livestock,1884801,2285828,2487782,2928172,3375456.62573009,3981557,4659507,5751293.29433046,6886493.55854342,7982784.50094707,8649522.04457135,9634439.41330339
1.3,Forestry and logging,191725,209649,216282,246486,249770.871962204,336000,368395,437221.945185782,419288.910226174,610988.770959008,614899.730018117,666830.396117514
1.4,Fishing and aquaculture,148143,183861,249721,266968,264930.791126669,227456,365378,404172.927704541,469359.844505434,525426.281620637,588263.297796657,669241.808663059
2.       ,Mining and quarrying,1106109,1268476,1238555,1470580,1712790.58959558,1968690,2323369,3333662.43962667,2750960.03810744,2318775.08456957,2482891.36485967,2543135.64457856
,Primary,6567597,8004859,8901625,9082843,9283443.55265527,10866614,12462348,14762903.5428841,18411499.6977603,19822200.7545283,21040178.3288996,24027072.0831613
3.       ,Manufacturing,6215158,5543115,5714839,5453348,7103242,7383288,8260688,9814813.8111178,9760750.73742123,10203541.600342,12474018.7210953,13786910.0768831
4.       ,"Electricity, gas, water supply & other utility services",783505,589605,870938,734036,835397.483155,722057,1045452,1320131.2771727,1741768.01596725,1618224.5825038,1831067.23371292,2196456.57864716
5.       ,Construction,2279090,2357908,2458242,2778617,2847345,2855442,3449490,3768665.03809054,3874096.56940727,3646999.73513278,4667585.37707951,5066007.79778637
,Secondary,9277753,8490628,9044019,8966001,10785984.483155,10960787,12755630,14903610.126381,15376615.3227958,15468765.9179786,18972671.3318877,21049374.4533166
6.       ,"Trade, repair, hotels and restaurants",3747813,4454669,5127458,6426894,7473589,8669324,10386639,12874471.8103985,14821095.3656242,12682185.7600107,16699533.7290734,21229871.0375369
6.1,Trade & repair services,3048685,3647224,4456270,5697436,6641784,7770792,9428579,11759961.4716316,13671272.2028467,12083069.450524,15798596.9909364,20090788.539085
6.2,Hotels & restaurants,699128,807445,671188,729458,831805,898532,958060,1114510.33876694,1149823.16277743,599116.309486691,900936.738136919,1139082.4984519
7.       ,"Transport, storage, communication & services related to broadcasting",2531768,2987053,3229774,3586625,3966554.14329347,4282106,4536078,5010457.01423174,5435115.48914292,4839697.72534996,7197902.16262972,9057620.63823034
7.1,Railways,161396,175654,192902,200401,201028,221575,254635,264005,332044,261187,308882,380233.742
7.2,Road transport,1461278,1715757,1869092,2053968,2263291.022,2453642,2734118,3235386.95351278,3379235.79543987,2876105.25562581,4849349.26294582,6276007.46132575
7.3,Water transport,0,0,0,0,0,0,0,0,0,0,0,0
7.4,Air transport,23258,43171,34506,62338,112639.654,126721,132949,79061.415465007,142896.65104471,75681.5121907627,80930.2994748862,100053.78202811
7.5,Services incidental to transport,371763,484436,447736,493722,504827.07,557782,583415,521303.369707866,530610.328639678,506751.698685248,652269.523121122,705888.433744633
7.6,Storage,17531,15328,17085,17803,18235.732093474,19777,17227,63496.453554442,65821.4600118223,75140.2269927694,75842.779811118,80533.7851841288
7.7,Communication & services related to broadcasting,496542,552707,668453,758393,866532.6652,902609,813734,847203.821991643,984507.254006841,1044832.03185537,1230628.29727678,1514903.43394772
8.       ,Financial services,2126507,2363216,2659553,3026141,3312303.34,3635605,4078344,4384109,4666288.63651893,4851779.73539053,5156256.89588271,5924539.17336923
9.       ,"Real estate, ownership of dwelling & professional services",5551356,6924491,8230664,9691214,11217189,13182438,14449810,16163475.2644482,18072045.8526946,19547047.9690099,23725198.6506186,27423296.6650559
10.   ,Public administration,1131290,1265964,1433832,1716637,2191530,2557373,2804886,2812434.77,2630534.87033363,2804288.96094612,2783342.45287776,3516522.22572739
11.   ,Other services,2670927,3035381,3546015,4153561,4802957,5864354,6543993,6783095.83407858,7564127.23805027,6852955.57856996,7757146.73260494,9183931.17171749
,Tertiary,17759661,21030774,24227296,28601072,32964122.4832935,38191200,42799750,48028043.693157,53189207.4523645,51577955.7292771,63319380.623687,76335780.9116373
12.,TOTAL GSVA at basic prices,33605011,37526261,42172940,46649916,53033550.5191038,60018601,68017728,77694557.3624222,86977322.4729206,86868922.401784,103332230.284474,121412227.448115
13.,Taxes on Products,3281100,3716400,4092900,4864172,5775443,6890625,8225600,9179864,9469914,9567747.42022061,12293293.5823926,12661709
14.,Subsidies on products,942700,1083300,1107800,929209,1018788,1076692,1238300,1131706,1438187,2155239,2734800,2734800
15.,Gross State Domestic Product,35943411,40159361,45158040,50584879,57790205.5191038,65832534,75005028,85742715.3624222,95009049.4729206,94281430.8220046,112890723.866867,131339136.448115
16.,Population ('00),356820,360400,364010,367660,371340,375050,378810,370930,373460,375990,378160,379990
17.,Per Capita GSDP (Rs.),100732.613082226,111429.969478357,124057.141287327,137586.02785182,155626.125704486,175530.019997334,198001.7106201,231156.054679918,254402.210338244,250755.155248822,298526.348283443,345638.402189834
