S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1.,"Agriculture, forestry and fishing",1330208.50781865,1536643.5210482,1579095.69917922,1611419.66631708,1628380.9608628,1694579.91827884,1916830.22696698,1988481.50994071,2337205.58773468,2598502.94307025,2721107.8601735,3024190.84341988
1.1,Crops,764025.68098036,901730.462503427,850162.815480586,862130.95242201,834909.170071743,858452.239145298,1016543.24935818,1006269.71379333,1184535.70069116,1281223.06232053,1305063.26289634,1388397.95161238
1.2,Livestock,287787.884371085,313743.636233368,351372.899126546,400880.034187507,450418.253225724,490496.577991056,534367.126203226,589271.93933503,626904.943037184,632101.952657993,672345.71889054,744127.183246825
1.3,Forestry and logging,274832.872933451,317354.338083907,373063.131984585,343611.735114737,337930.967642818,340194.040445233,359874.398974381,387627.997796819,520116.854210123,678199.145160655,736049.888212309,882712.029694143
1.4,Fishing and aquaculture,3562.06953375,3815.0842275,4496.8525875,4796.94459282996,5122.56992251773,5437.06069725,6045.4524312,5311.85901553125,5648.0897962125,6978.78293106472,7648.99017430275,8953.67886652997
2.       ,Mining and quarrying,186082.69313552,205725.376576,354844.22526105,236697.364136263,202791.302773053,253822.340678016,302686.748764592,341085.83795579,286113.115635662,225425.735317827,221841.37579887,222339.640845579
,Primary,1516291.20095417,1742368.8976242,1933939.92444027,1848117.03045335,1831172.26363586,1948402.25895685,2219516.97573158,2329567.3478965,2623318.70337034,2823928.67838807,2942949.23597237,3246530.48426546
3.       ,Manufacturing,4365134.8148313,5082898.83908226,5440405.7329697,5874343.32822426,6369703.25472361,7031812.88693832,7597806.5333717,7786974.6567486,7743995.66477651,7795820.99963755,9272667.58423941,10364662.8428431
4.       ,"Electricity, gas, water supply & other utility services",398079.42665,416110.5612,375058.21896,431295.10159,556862.647408615,579224.513142572,667288.067806968,714204.583490543,741333.08515024,770280.938880133,891285.799871099,1023531.97178485
5.       ,Construction,883766.1211,936950.4078,1242406.42865494,1297607.02372443,1313470.56658186,1416291.88417895,1592085.1732125,1786954.52562854,1801385.96201582,1752886.91145689,2132803.63298802,2571992.79754316
,Secondary,5646980.3625813,6435959.80808226,7057870.38058464,7603245.45353869,8240036.46871408,9027329.28425983,9857179.77439116,10288133.7658677,10286714.7119426,10318988.8499746,12296757.0170985,13960187.6121712
6.       ,"Trade, repair, hotels and restaurants",1192895.5473,1408868.9808,1613980.7951,1788266.6441,2038604.5212,2427073.994,2852399.72429716,3347890.98887883,3689725.35023585,2903864.7168728,3538800.99202613,3910997.55879239
6.1,Trade & repair services,1013998,1218820.9554,1426253.4188,1590891.2425,1811067.4746,2173907.164,2567863.60715085,3014318.82887883,3345571.06357748,2761748.86455071,3390968.7832443,3757508.22532588
6.2,Hotels & restaurants,178897.5473,190048.0254,187727.3763,197375.4016,227537.0466,253166.83,284536.117146309,333572.16,344154.286658375,142115.852322093,147832.20878183,153489.33346651
7.       ,"Transport, storage, communication & services related to broadcasting",691812.0706,811657.8338,934918.3183,1066332.9174,1279864.4351,1300141.224,1239123.22410712,1316961.9278671,1527022.90031447,1655795.64501673,1759969.94297558,1864415.35702021
7.1,Railways,14143,16517,17200,21899,26150,28697,29326,31272,45468,49649,56913.4726985925,63693.8984780475
