S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1.,"Agriculture, forestry and fishing",11710585,13683827,16581431,16545516,18391923,19437865,21673273,23389907.2647922,24547289.9059573,25935181.0181496,27404777.153928,28933147.1836856
1.1,Crops,7245329,8682450,10626231,10171379,11593411,12036882,13120198,14063149.2647922,14651562.9059573,15169475.0181496,15904817.8723791,16626546.4773979
1.2,Livestock,2231476,2473106,2817386,3079828,3264639,3596615,4187954,4663498,5089194,5561405,6050340.28154891,6551762.70362881
1.3,Forestry and logging,513174,557105,663006,581145,605784,759417,659125,739463,804054,808396,865670,907924.002658829
1.4,Fishing and aquaculture,1720606,1971166,2474808,2713164,2928089,3044951,3705996,3923797,4002479,4395905,4583949,4846914
2.       ,Mining and quarrying,726138,858357.98,720621,782437,771391,729088,812898,995230,993322,1074937.64512492,1106960.08197402,1129358.54231371
,Primary,12436723,14542184.98,17302052,17327953,19163314,20166953,22486171,24385137.2647922,25540611.9059573,27010118.6632745,28511737.2359021,30062505.7259993
3.       ,Manufacturing,6952408.53690471,7355292.74982132,7612140.46927585,7162103.00674783,8536104.69067506,9962263.98160714,11416255.2475162,14028800.0887357,13848774.3821859,13228836.7304224,17310596.4985453,19714239.3175247
4.       ,"Electricity, gas, water supply & other utility services",1132797.43,1227159.56,1434478.06,1463556.57,1663680.5,1679796,1803304,1837800,1994840.3,1968937.34,2361288.01997267,2762891.19854515
5.       ,Construction,4440021,4785994,5279474,5368490,5377274,5774233,6393759,7193993,7326601.32656536,6912459.69833127,10363808.8926378,12202843.8864441
,Secondary,12525226.9669047,13368446.3098213,14326092.5292758,13994149.5767478,15577059.1906751,17416292.9816071,19613318.2475162,23060593.0887357,23170216.0087513,22110233.7687536,30035693.4111558,34679974.4025139
6.       ,"Trade, repair, hotels and restaurants",6795832,8067121,9718569,10711645,11817595,12930350,14884466,17280192,18838310,17316816.667,20688095.1034819,24877402.9209644
6.1,Trade & repair services,6405286,7642915,9256782,10186005,11207868,12260433,14144897,16418396,17930708,16901672.667,20317500.0524007,24448048.2113538
6.2,Hotels & restaurants,390546,424206,461787,525640,609727,669917,739569,861796,907602,415144,370595.051081241,429354.709610611
7.       ,"Transport, storage, communication & services related to broadcasting",3501861.38488622,3714116.99452395,4216631.688676,4716241,5384778,5528858,5813461.6915,6255939.246,7368371.7491,7134871.267,7279007.40919003,7950571.2715548
7.1,Railways,794164,940176,952188,1154326,1276432,1307957,1397461,1424093,1790522,1837118,1581195,1619884
7.2,Road transport,1287047,1283266,1443103,1526437,1700050,1719643,1907795.943,2187142.706,2574262.8067,2199298.5126,2336073.6636,2685118.6295
7.3,Water transport,48913.9479375732,38961.2068415645,32879,38081,37888,51086,54669.627,75523.9485,74013.9908,77439.2041,81484.2794,91447.3499
7.4,Air transport,30476,55832,85699,71767,125930,145578,162197.532,91628.761,167687.5171,83243.3917,156098.296720484,224487.496270727
7.5,Services incidental to transport,338376,305018,391429,357118,439330,436609,457911.5895,422199.8305,448171.4345,335071.1586,365408.84798265,426090.896039118
7.6,Storage,43420,48180,53898,58607,64027,68039,74866,214968,222759,223629,242964.883052696,242964.883052696
7.7,Communication & services related to broadcasting,959464.436948643,1042683.78768238,1257435.688676,1509905,1741121,1799946,1758560,1840383,2090955,2379072,2515782.4384342,2660578.01679225
8.       ,Financial services,3194965,3530371,3425157,3714599,4057449,4216245,4720909,5116658,5530136,5758383,5818345,5881329
9.       ,"Real estate, ownership of dwelling & professional services",5533296,6500198,7652871,8805631,9522443,10672410,11644591,12748879,13804475,14193438,18915594.3937,24465429.8440116
10.   ,Public administration,2616084,3133165,3200042,3370334,3571669.29,3982491,4072573,4741492,5167013.4,5834067.76,7000881.312,7280916.56448
11.   ,Other services,3242995.19,3755560.63,4467392.81,5239480.3,5922009.38,7020389,8125351,9079398.96479131,10845013.4,9840164.91,11696503.9149682,13886247.5492715
,Tertiary,24885033.5748862,28700532.6245239,32680663.498676,36557930.3,40275943.67,44350743,49261351.6915,55222559.2107913,61553319.5491,60077741.604,71398427.1333402,84341897.1502823
12.,TOTAL GSVA at basic prices,49846983.5417909,56611163.9143453,64308808.0279519,67880032.8767478,75016316.8606751,81933988.9816071,91360840.9390163,102668289.564319,110264147.463809,109198094.036028,129945857.780398,149084377.278795
13.,Taxes on Products,3918617,4763581,5375149,5876464,6762725,7551392,8338880,10183996,9793610,10321572,11201811.1571666,12157118.4312643
14.,Subsidies on products,1717096,2228275,1999083,1948334,2049047,2232658,2229716,2646920,2148043,3937605,4755082.63835251,5742275.03712574
15.,Gross State Domestic Product,52048504.5417909,59146469.9143453,67684874.0279519,71808162.8767478,79729994.8606751,87252722.9816071,97470004.9390163,110205365.564319,117909714.463809,115582061.036028,136392586.299212,155499220.672934
16.,Population ('00),918070,927260,936530,945890,955350,964910,974560,966530,972620,978710,984040,988840
17.,Per Capita GSDP (Rs.),56693.3943400731,63786.2842291755,72271.9763680308,75915.9763574494,83456.3195275816,90425.7630054691,100014.370525177,114021.670888973,121228.963484001,118096.331943097,138604.71759198,157254.177291507
